strategy,precision,recall,f1
Baseline,0.7333333333333333,0.6470588235294118,0.6875
class_weight=balanced,0.7391304347826086,0.75,0.7445255474452555
SMOTE,0.75,0.7058823529411765,0.7272727272727273
