model,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.8146067415730337,0.7966101694915254,0.6911764705882353,0.7401574803149606,0.8685828877005348
Decision Tree,0.7921348314606742,0.8163265306122449,0.5882352941176471,0.6837606837606838,0.8285427807486629
Random Forest,0.7752808988764045,0.7333333333333333,0.6470588235294118,0.6875,0.8163101604278074
Tuned Random Forest,0.7921348314606742,0.7627118644067796,0.6617647058823529,0.7086614173228346,0.8171122994652407
